row_id,raw_label,raw_timestamp,source_file,ingest_ts,batch_id,quality_label_raw,quality_label_binary,event_ts
1,-1,19/07/2008 11:55:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-19 11:55:00+00:00
2,-1,19/07/2008 12:32:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-19 12:32:00+00:00
3,1,19/07/2008 13:17:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,1,1,2008-07-19 13:17:00+00:00
4,-1,19/07/2008 14:43:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-19 14:43:00+00:00
5,-1,19/07/2008 15:22:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-19 15:22:00+00:00
6,-1,19/07/2008 17:53:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-19 17:53:00+00:00
7,-1,19/07/2008 19:44:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-19 19:44:00+00:00
8,-1,19/07/2008 19:45:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-19 19:45:00+00:00
9,-1,19/07/2008 20:24:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-19 20:24:00+00:00
10,-1,19/07/2008 21:35:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-19 21:35:00+00:00
11,1,19/07/2008 21:57:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,1,1,2008-07-19 21:57:00+00:00
12,1,19/07/2008 22:52:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,1,1,2008-07-19 22:52:00+00:00
13,-1,20/07/2008 03:35:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-20 03:35:00+00:00
14,-1,21/07/2008 08:21:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-21 08:21:00+00:00
15,1,21/07/2008 11:53:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,1,1,2008-07-21 11:53:00+00:00
16,-1,22/07/2008 00:03:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-22 00:03:00+00:00
17,-1,22/07/2008 02:59:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-22 02:59:00+00:00
18,-1,22/07/2008 08:41:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-22 08:41:00+00:00
19,-1,22/07/2008 11:47:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-22 11:47:00+00:00
20,-1,22/07/2008 14:00:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-22 14:00:00+00:00
21,-1,22/07/2008 15:30:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-22 15:30:00+00:00
22,-1,23/07/2008 05:15:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-23 05:15:00+00:00
23,-1,23/07/2008 19:22:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-23 19:22:00+00:00
24,1,25/07/2008 15:23:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,1,1,2008-07-25 15:23:00+00:00
25,-1,27/07/2008 04:18:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-27 04:18:00+00:00
26,-1,27/07/2008 09:37:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-27 09:37:00+00:00
27,-1,27/07/2008 11:10:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-27 11:10:00+00:00
28,-1,27/07/2008 15:46:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-27 15:46:00+00:00
29,-1,27/07/2008 16:06:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-27 16:06:00+00:00
30,-1,27/07/2008 16:49:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-27 16:49:00+00:00
31,-1,27/07/2008 20:24:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-27 20:24:00+00:00
32,-1,27/07/2008 22:28:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-27 22:28:00+00:00
33,-1,27/07/2008 22:28:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-27 22:28:00+00:00
34,-1,27/07/2008 23:14:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-27 23:14:00+00:00
35,-1,28/07/2008 03:31:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-28 03:31:00+00:00
36,-1,28/07/2008 03:48:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-28 03:48:00+00:00
37,-1,28/07/2008 04:37:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-28 04:37:00+00:00
38,-1,28/07/2008 05:36:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-28 05:36:00+00:00
39,1,28/07/2008 06:45:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,1,1,2008-07-28 06:45:00+00:00
40,-1,28/07/2008 08:36:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,-1,0,2008-07-28 08:36:00+00:00
41,1,28/07/2008 15:11:00,secom_labels.data,2026-04-06 00:52:00.819769+00:00,20260406005200,1,1,2008-07-28 15:11:00+00:00
